Unnamed: 0,name,attendance,subject,late
1,Jorge Sullivan,60,herbology,0
3,Susan Wagner,60,herbology,0
6,Stephanie Collins,60,herbology,0
11,Kimberly Smith,55,herbology,5
12,Jennifer Summers,60,herbology,0
16,Walter Pratt,47,herbology,13
18,Tasha Rodriguez,60,herbology,0
20,Kimberly Maynard,60,herbology,0
24,Mary Alvarez,48,herbology,12
26,Sarah Villanueva,60,herbology,0
932,Brian Hamilton,60,herbology,0
933,Susan Levy,0,herbology,60
934,Sean Green,60,herbology,0
936,Jennifer Summers,60,herbology,0
938,Dana Nguyen,60,herbology,0
941,Bobby Flores,60,herbology,0
942,Tasha Rodriguez,60,herbology,0
944,Kimberly Maynard,60,herbology,0
955,Whitney Stark,60,herbology,0
31,Whitney Stark,59,herbology,1
33,Norma Fisher,60,herbology,0
35,Elizabeth Woods,60,herbology,0
38,Theodore Mcgrath,60,herbology,0
39,Stephanie Collins,60,herbology,0
47,Dana Nguyen,0,herbology,60
50,Bobby Flores,60,herbology,0
51,Tasha Rodriguez,60,herbology,0
53,Kimberly Maynard,60,herbology,0
54,Laurie Wallace,60,herbology,0
56,Collin Lopez,60,herbology,0
963,Stephanie Collins,60,herbology,0
965,Brian Hamilton,60,herbology,0
968,Kimberly Smith,60,herbology,0
975,Tasha Rodriguez,60,herbology,0
978,Laurie Wallace,0,herbology,60
301,Peter Montgomery,60,herbology,0
303,Stephanie Collins,60,herbology,0
314,Bobby Flores,60,herbology,0
319,Janice Johnston,60,herbology,0
325,Desiree Cain,60,herbology,0
327,Lauren Hayes,60,herbology,0
332,Elizabeth Woods,60,herbology,0
333,Susan Wagner,60,herbology,0
340,Sean Green,60,herbology,0
345,Cheryl Bradley,60,herbology,0
349,Michelle Kelley,60,herbology,0
354,Mary Alvarez,60,herbology,0
356,Sarah Villanueva,60,herbology,0
359,Stephanie Lawrence,60,herbology,0
363,Norma Fisher,60,herbology,0
365,Elizabeth Woods,60,herbology,0
367,Peter Montgomery,60,herbology,0
370,Stephanie Sutton,60,herbology,0
372,Susan Levy,60,herbology,0
382,Michelle Kelley,60,herbology,0
388,Peter Mcdowell,60,herbology,0
398,Elizabeth Woods,45,herbology,15
406,Sean Green,60,herbology,0
411,Cheryl Bradley,60,herbology,0
420,Mary Alvarez,60,herbology,0
438,Susan Levy,60,herbology,0
439,Sean Green,60,herbology,0
440,Kimberly Smith,60,herbology,0
453,Mary Alvarez,60,herbology,0
455,Sarah Villanueva,60,herbology,0
458,Stephanie Lawrence,60,herbology,0
463,Jorge Sullivan,60,herbology,0
477,Cheryl Bradley,60,herbology,0
479,Bobby Flores,60,herbology,0
487,Peter Mcdowell,60,herbology,0
490,Desiree Cain,60,herbology,0
492,Lauren Hayes,60,herbology,0
494,Angela Salazar,60,herbology,0
497,Elizabeth Woods,60,herbology,0
506,Kimberly Smith,60,herbology,0
510,Cheryl Bradley,0,herbology,60
513,Tasha Rodriguez,53,herbology,7
514,Michelle Kelley,60,herbology,0
519,Mary Alvarez,60,herbology,0
521,Sarah Villanueva,60,herbology,0
523,Desiree Cain,60,herbology,0
525,Lauren Hayes,60,herbology,0
526,Whitney Stark,60,herbology,0
536,Brian Hamilton,60,herbology,0
538,Sean Green,60,herbology,0
542,Dana Nguyen,57,herbology,3
543,Cheryl Bradley,60,herbology,0
547,Michelle Kelley,60,herbology,0
548,Kimberly Maynard,60,herbology,0
554,Sarah Villanueva,60,herbology,0
556,Desiree Cain,60,herbology,0
565,Peter Montgomery,60,herbology,0
568,Stephanie Sutton,60,herbology,0
571,Sean Green,60,herbology,0
575,Dana Nguyen,60,herbology,0
577,Walter Pratt,60,herbology,0
578,Bobby Flores,60,herbology,0
593,Angela Salazar,60,herbology,0
595,Jorge Sullivan,60,herbology,0
599,Theodore Mcgrath,60,herbology,0
60,Kimberly Myers,60,herbology,0
61,Desiree Cain,60,herbology,0
68,Elizabeth Woods,60,herbology,0
70,Peter Montgomery,60,herbology,0
89,Collin Lopez,60,herbology,0
601,Stephanie Sutton,0,herbology,60
603,Susan Levy,60,herbology,0
606,Jennifer Summers,0,herbology,60
608,Dana Nguyen,60,herbology,0
609,Cheryl Bradley,60,herbology,0
614,Kimberly Maynard,60,herbology,0
619,Peter Mcdowell,60,herbology,0
621,Kimberly Myers,60,herbology,0
629,Elizabeth Woods,60,herbology,0
639,Jennifer Summers,60,herbology,0
649,Janice Johnston,60,herbology,0
658,Whitney Stark,60,herbology,0
660,Norma Fisher,60,herbology,0
662,Elizabeth Woods,60,herbology,0
663,Susan Wagner,60,herbology,0
665,Theodore Mcgrath,60,herbology,0
668,Brian Hamilton,60,herbology,0
670,Sean Green,60,herbology,0
674,Dana Nguyen,60,herbology,0
676,Walter Pratt,41,herbology,19
678,Tasha Rodriguez,55,herbology,5
679,Michelle Kelley,60,herbology,0
687,Kimberly Myers,60,herbology,0
701,Brian Hamilton,60,herbology,0
710,Bobby Flores,60,herbology,0
713,Kimberly Maynard,60,herbology,0
714,Laurie Wallace,60,herbology,0
721,Desiree Cain,60,herbology,0
731,Theodore Mcgrath,60,herbology,0
746,Kimberly Maynard,60,herbology,0
747,Laurie Wallace,60,herbology,0
750,Mary Alvarez,60,herbology,0
763,Peter Montgomery,60,herbology,0
