Unnamed: 0,name,late,subject,attendance
0,Norma Fisher,0,math,60
2,Elizabeth Woods,0,math,60
15,Cheryl Bradley,0,math,60
931,Stephanie Sutton,0,math,60
937,April Snyder,0,math,60
945,Laurie Wallace,0,math,60
946,Janice Johnston,0,math,60
949,Peter Mcdowell,0,math,60
952,Desiree Cain,0,math,60
957,Norma Fisher,0,math,60
30,Lauren Hayes,0,math,60
40,Stephanie Sutton,0,math,60
44,Kimberly Smith,0,math,60
59,Sarah Villanueva,16,math,44
964,Stephanie Sutton,0,math,60
967,Sean Green,0,math,60
974,Bobby Flores,8,math,52
979,Janice Johnston,13,math,47
980,Collin Lopez,0,math,60
985,Desiree Cain,5,math,55
305,Brian Hamilton,0,math,60
306,Susan Levy,0,math,60
307,Sean Green,0,math,60
310,April Snyder,0,math,60
313,Walter Pratt,0,math,60
315,Tasha Rodriguez,0,math,60
316,Michelle Kelley,0,math,60
317,Kimberly Maynard,4,math,56
318,Laurie Wallace,0,math,60
322,Peter Mcdowell,12,math,48
324,Kimberly Myers,60,math,0
330,Norma Fisher,0,math,60
331,Jorge Sullivan,0,math,60
334,Peter Montgomery,0,math,60
335,Theodore Mcgrath,0,math,60
351,Laurie Wallace,0,math,60
353,Collin Lopez,0,math,60
360,Lauren Hayes,0,math,60
364,Jorge Sullivan,0,math,60
368,Theodore Mcgrath,0,math,60
371,Brian Hamilton,0,math,60
374,Kimberly Smith,0,math,60
380,Bobby Flores,7,math,53
383,Kimberly Maynard,0,math,60
393,Lauren Hayes,0,math,60
394,Whitney Stark,0,math,60
399,Susan Wagner,0,math,60
402,Stephanie Collins,0,math,60
404,Brian Hamilton,0,math,60
409,April Snyder,0,math,60
418,Janice Johnston,0,math,60
421,Peter Mcdowell,0,math,60
424,Desiree Cain,12,math,48
431,Elizabeth Woods,0,math,60
433,Peter Montgomery,0,math,60
436,Stephanie Sutton,3,math,57
444,Cheryl Bradley,0,math,60
447,Tasha Rodriguez,0,math,60
450,Laurie Wallace,0,math,60
460,Whitney Stark,0,math,60
465,Susan Wagner,0,math,60
466,Peter Montgomery,0,math,60
470,Brian Hamilton,0,math,60
471,Susan Levy,0,math,60
483,Laurie Wallace,3,math,57
491,Stephanie Lawrence,0,math,60
493,Whitney Stark,0,math,60
498,Susan Wagner,4,math,56
504,Susan Levy,0,math,60
507,Jennifer Summers,0,math,60
508,April Snyder,0,math,60
512,Bobby Flores,0,math,60
518,Collin Lopez,0,math,60
520,Peter Mcdowell,0,math,60
522,Kimberly Myers,0,math,60
524,Stephanie Lawrence,0,math,60
528,Norma Fisher,0,math,60
531,Susan Wagner,11,math,49
533,Theodore Mcgrath,0,math,60
540,Jennifer Summers,0,math,60
544,Walter Pratt,0,math,60
550,Janice Johnston,0,math,60
551,Collin Lopez,0,math,60
555,Kimberly Myers,19,math,41
563,Elizabeth Woods,0,math,60
564,Susan Wagner,0,math,60
566,Theodore Mcgrath,0,math,60
579,Tasha Rodriguez,0,math,60
584,Collin Lopez,0,math,60
586,Peter Mcdowell,0,math,60
598,Peter Montgomery,0,math,60
69,Susan Wagner,0,math,60
71,Theodore Mcgrath,0,math,60
77,Kimberly Smith,0,math,60
80,Dana Nguyen,0,math,60
81,Cheryl Bradley,0,math,60
82,Walter Pratt,0,math,60
86,Kimberly Maynard,0,math,60
