Unnamed: 0,name,attendance,subject,late
7,Stephanie Sutton,60,p.e,0
13,April Snyder,60,p.e,0
14,Dana Nguyen,60,p.e,0
19,Michelle Kelley,60,p.e,0
29,Stephanie Lawrence,60,p.e,0
930,Stephanie Collins,60,p.e,0
935,Kimberly Smith,44,p.e,16
939,Cheryl Bradley,60,p.e,0
940,Walter Pratt,0,p.e,60
943,Michelle Kelley,60,p.e,0
947,Collin Lopez,60,p.e,0
951,Kimberly Myers,60,p.e,0
953,Stephanie Lawrence,60,p.e,0
956,Angela Salazar,60,p.e,0
959,Elizabeth Woods,60,p.e,0
34,Jorge Sullivan,60,p.e,0
42,Susan Levy,60,p.e,0
57,Mary Alvarez,0,p.e,60
58,Peter Mcdowell,60,p.e,0
971,Dana Nguyen,60,p.e,0
972,Cheryl Bradley,60,p.e,0
976,Michelle Kelley,0,p.e,60
984,Kimberly Myers,60,p.e,0
987,Lauren Hayes,60,p.e,0
312,Cheryl Bradley,60,p.e,0
321,Mary Alvarez,60,p.e,0
326,Stephanie Lawrence,57,p.e,3
328,Whitney Stark,0,p.e,60
342,Jennifer Summers,60,p.e,0
347,Bobby Flores,60,p.e,0
348,Tasha Rodriguez,42,p.e,18
352,Janice Johnston,60,p.e,0
361,Whitney Stark,60,p.e,0
373,Sean Green,60,p.e,0
377,Dana Nguyen,60,p.e,0
381,Tasha Rodriguez,60,p.e,0
385,Janice Johnston,60,p.e,0
386,Collin Lopez,42,p.e,18
392,Stephanie Lawrence,60,p.e,0
395,Angela Salazar,60,p.e,0
396,Norma Fisher,50,p.e,10
397,Jorge Sullivan,60,p.e,0
407,Kimberly Smith,60,p.e,0
408,Jennifer Summers,60,p.e,0
410,Dana Nguyen,60,p.e,0
415,Michelle Kelley,60,p.e,0
416,Kimberly Maynard,60,p.e,0
417,Laurie Wallace,60,p.e,0
419,Collin Lopez,47,p.e,13
430,Jorge Sullivan,60,p.e,0
432,Susan Wagner,0,p.e,60
434,Theodore Mcgrath,60,p.e,0
446,Bobby Flores,60,p.e,0
451,Janice Johnston,60,p.e,0
461,Angela Salazar,60,p.e,0
464,Elizabeth Woods,60,p.e,0
473,Kimberly Smith,60,p.e,0
475,April Snyder,60,p.e,0
476,Dana Nguyen,44,p.e,16
489,Kimberly Myers,60,p.e,0
499,Peter Montgomery,44,p.e,16
500,Theodore Mcgrath,60,p.e,0
502,Stephanie Sutton,60,p.e,0
509,Dana Nguyen,60,p.e,0
516,Laurie Wallace,60,p.e,0
517,Janice Johnston,60,p.e,0
527,Angela Salazar,60,p.e,0
534,Stephanie Collins,60,p.e,0
539,Kimberly Smith,60,p.e,0
552,Mary Alvarez,60,p.e,0
557,Stephanie Lawrence,60,p.e,0
558,Lauren Hayes,60,p.e,0
559,Whitney Stark,45,p.e,15
562,Jorge Sullivan,60,p.e,0
570,Susan Levy,60,p.e,0
574,April Snyder,60,p.e,0
585,Mary Alvarez,60,p.e,0
587,Sarah Villanueva,60,p.e,0
589,Desiree Cain,60,p.e,0
590,Stephanie Lawrence,60,p.e,0
594,Norma Fisher,60,p.e,0
66,Norma Fisher,60,p.e,0
72,Stephanie Collins,60,p.e,0
74,Brian Hamilton,60,p.e,0
75,Susan Levy,60,p.e,0
76,Sean Green,44,p.e,16
78,Jennifer Summers,46,p.e,14
85,Michelle Kelley,60,p.e,0
88,Janice Johnston,60,p.e,0
600,Stephanie Collins,60,p.e,0
612,Tasha Rodriguez,60,p.e,0
615,Laurie Wallace,60,p.e,0
624,Lauren Hayes,60,p.e,0
640,April Snyder,60,p.e,0
644,Bobby Flores,60,p.e,0
646,Michelle Kelley,60,p.e,0
648,Laurie Wallace,60,p.e,0
650,Collin Lopez,60,p.e,0
653,Sarah Villanueva,60,p.e,0
682,Janice Johnston,60,p.e,0
684,Mary Alvarez,60,p.e,0
685,Peter Mcdowell,60,p.e,0
693,Norma Fisher,60,p.e,0
696,Susan Wagner,60,p.e,0
702,Susan Levy,60,p.e,0
705,Jennifer Summers,60,p.e,0
711,Tasha Rodriguez,60,p.e,0
712,Michelle Kelley,60,p.e,0
715,Janice Johnston,60,p.e,0
716,Collin Lopez,60,p.e,0
719,Sarah Villanueva,60,p.e,0
726,Norma Fisher,60,p.e,0
732,Stephanie Collins,60,p.e,0
737,Kimberly Smith,0,p.e,60
738,Jennifer Summers,60,p.e,0
739,April Snyder,60,p.e,0
740,Dana Nguyen,60,p.e,0
742,Walter Pratt,60,p.e,0
743,Bobby Flores,60,p.e,0
749,Collin Lopez,60,p.e,0
756,Lauren Hayes,54,p.e,6
765,Stephanie Collins,60,p.e,0
770,Kimberly Smith,60,p.e,0
771,Jennifer Summers,60,p.e,0
773,Dana Nguyen,60,p.e,0
777,Tasha Rodriguez,60,p.e,0
778,Michelle Kelley,60,p.e,0
782,Collin Lopez,60,p.e,0
787,Desiree Cain,60,p.e,0
789,Lauren Hayes,60,p.e,0
792,Norma Fisher,60,p.e,0
798,Stephanie Collins,60,p.e,0
803,Kimberly Smith,60,p.e,0
808,Walter Pratt,55,p.e,5
814,Janice Johnston,60,p.e,0
819,Kimberly Myers,60,p.e,0
837,Jennifer Summers,53,p.e,7
841,Walter Pratt,60,p.e,0
850,Peter Mcdowell,60,p.e,0
854,Stephanie Lawrence,60,p.e,0
866,Brian Hamilton,60,p.e,0
878,Kimberly Maynard,60,p.e,0
882,Mary Alvarez,60,p.e,0
92,Sarah Villanueva,60,p.e,0
909,Tasha Rodriguez,58,p.e,2
914,Collin Lopez,50,p.e,10
915,Mary Alvarez,60,p.e,0
917,Sarah Villanueva,60,p.e,0
925,Jorge Sullivan,60,p.e,0
926,Elizabeth Woods,60,p.e,0
120,Laurie Wallace,60,p.e,0
125,Sarah Villanueva,60,p.e,0
132,Norma Fisher,60,p.e,0
134,Elizabeth Woods,60,p.e,0
136,Peter Montgomery,52,p.e,8
140,Brian Hamilton,60,p.e,0
