Unnamed: 0,name,attendance,subject
1,Jorge Sullivan,60,herbology
3,Susan Wagner,60,herbology
6,Stephanie Collins,60,herbology
11,Kimberly Smith,55,herbology
12,Jennifer Summers,60,herbology
16,Walter Pratt,47,herbology
18,Tasha Rodriguez,60,herbology
20,Kimberly Maynard,60,herbology
24,Mary Alvarez,48,herbology
26,Sarah Villanueva,60,herbology
932,Brian Hamilton,60,herbology
933,Susan Levy,0,herbology
934,Sean Green,60,herbology
936,Jennifer Summers,60,herbology
938,Dana Nguyen,60,herbology
941,Bobby Flores,60,herbology
942,Tasha Rodriguez,60,herbology
944,Kimberly Maynard,60,herbology
955,Whitney Stark,60,herbology
31,Whitney Stark,59,herbology
33,Norma Fisher,60,herbology
35,Elizabeth Woods,60,herbology
38,Theodore Mcgrath,60,herbology
39,Stephanie Collins,60,herbology
47,Dana Nguyen,0,herbology
50,Bobby Flores,60,herbology
51,Tasha Rodriguez,60,herbology
53,Kimberly Maynard,60,herbology
54,Laurie Wallace,60,herbology
56,Collin Lopez,60,herbology
963,Stephanie Collins,60,herbology
965,Brian Hamilton,60,herbology
968,Kimberly Smith,60,herbology
975,Tasha Rodriguez,60,herbology
978,Laurie Wallace,0,herbology
301,Peter Montgomery,60,herbology
303,Stephanie Collins,60,herbology
314,Bobby Flores,60,herbology
319,Janice Johnston,60,herbology
325,Desiree Cain,60,herbology
327,Lauren Hayes,60,herbology
332,Elizabeth Woods,60,herbology
333,Susan Wagner,60,herbology
340,Sean Green,60,herbology
345,Cheryl Bradley,60,herbology
349,Michelle Kelley,60,herbology
354,Mary Alvarez,60,herbology
356,Sarah Villanueva,60,herbology
359,Stephanie Lawrence,60,herbology
363,Norma Fisher,60,herbology
365,Elizabeth Woods,60,herbology
367,Peter Montgomery,60,herbology
370,Stephanie Sutton,60,herbology
372,Susan Levy,60,herbology
382,Michelle Kelley,60,herbology
388,Peter Mcdowell,60,herbology
398,Elizabeth Woods,45,herbology
406,Sean Green,60,herbology
411,Cheryl Bradley,60,herbology
420,Mary Alvarez,60,herbology
438,Susan Levy,60,herbology
439,Sean Green,60,herbology
440,Kimberly Smith,60,herbology
453,Mary Alvarez,60,herbology
455,Sarah Villanueva,60,herbology
458,Stephanie Lawrence,60,herbology
463,Jorge Sullivan,60,herbology
477,Cheryl Bradley,60,herbology
479,Bobby Flores,60,herbology
487,Peter Mcdowell,60,herbology
490,Desiree Cain,60,herbology
492,Lauren Hayes,60,herbology
494,Angela Salazar,60,herbology
497,Elizabeth Woods,60,herbology
506,Kimberly Smith,60,herbology
510,Cheryl Bradley,0,herbology
513,Tasha Rodriguez,53,herbology
514,Michelle Kelley,60,herbology
519,Mary Alvarez,60,herbology
521,Sarah Villanueva,60,herbology
523,Desiree Cain,60,herbology
525,Lauren Hayes,60,herbology
526,Whitney Stark,60,herbology
536,Brian Hamilton,60,herbology
538,Sean Green,60,herbology
542,Dana Nguyen,57,herbology
543,Cheryl Bradley,60,herbology
547,Michelle Kelley,60,herbology
548,Kimberly Maynard,60,herbology
554,Sarah Villanueva,60,herbology
556,Desiree Cain,60,herbology
565,Peter Montgomery,60,herbology
568,Stephanie Sutton,60,herbology
571,Sean Green,60,herbology
575,Dana Nguyen,60,herbology
577,Walter Pratt,60,herbology
578,Bobby Flores,60,herbology
593,Angela Salazar,60,herbology
595,Jorge Sullivan,60,herbology
599,Theodore Mcgrath,60,herbology
60,Kimberly Myers,60,herbology
61,Desiree Cain,60,herbology
68,Elizabeth Woods,60,herbology
70,Peter Montgomery,60,herbology
89,Collin Lopez,60,herbology
601,Stephanie Sutton,0,herbology
603,Susan Levy,60,herbology
606,Jennifer Summers,0,herbology
608,Dana Nguyen,60,herbology
609,Cheryl Bradley,60,herbology
614,Kimberly Maynard,60,herbology
619,Peter Mcdowell,60,herbology
621,Kimberly Myers,60,herbology
629,Elizabeth Woods,60,herbology
639,Jennifer Summers,60,herbology
649,Janice Johnston,60,herbology
658,Whitney Stark,60,herbology
660,Norma Fisher,60,herbology
662,Elizabeth Woods,60,herbology
663,Susan Wagner,60,herbology
665,Theodore Mcgrath,60,herbology
668,Brian Hamilton,60,herbology
670,Sean Green,60,herbology
674,Dana Nguyen,60,herbology
676,Walter Pratt,41,herbology
678,Tasha Rodriguez,55,herbology
679,Michelle Kelley,60,herbology
687,Kimberly Myers,60,herbology
701,Brian Hamilton,60,herbology
710,Bobby Flores,60,herbology
713,Kimberly Maynard,60,herbology
714,Laurie Wallace,60,herbology
721,Desiree Cain,60,herbology
731,Theodore Mcgrath,60,herbology
746,Kimberly Maynard,60,herbology
747,Laurie Wallace,60,herbology
750,Mary Alvarez,60,herbology
763,Peter Montgomery,60,herbology
764,Theodore Mcgrath,60,herbology
781,Janice Johnston,60,herbology
785,Sarah Villanueva,60,herbology
786,Kimberly Myers,60,herbology
788,Stephanie Lawrence,60,herbology
800,Brian Hamilton,60,herbology
801,Susan Levy,60,herbology
811,Michelle Kelley,60,herbology
812,Kimberly Maynard,60,herbology
815,Collin Lopez,60,herbology
820,Desiree Cain,60,herbology
824,Angela Salazar,60,herbology
827,Elizabeth Woods,60,herbology
835,Sean Green,60,herbology
846,Laurie Wallace,46,herbology
851,Sarah Villanueva,60,herbology
852,Kimberly Myers,60,herbology
863,Theodore Mcgrath,60,herbology
873,Cheryl Bradley,60,herbology
880,Janice Johnston,60,herbology
890,Angela Salazar,60,herbology
895,Peter Montgomery,60,herbology
896,Theodore Mcgrath,60,herbology
97,Whitney Stark,60,herbology
98,Angela Salazar,60,herbology
99,Norma Fisher,60,herbology
102,Susan Wagner,60,herbology
106,Stephanie Sutton,60,herbology
112,April Snyder,60,herbology
115,Walter Pratt,60,herbology
118,Michelle Kelley,60,herbology
900,Susan Levy,60,herbology
901,Sean Green,60,herbology
907,Walter Pratt,60,herbology
912,Laurie Wallace,60,herbology
921,Lauren Hayes,60,herbology
923,Angela Salazar,60,herbology
928,Peter Montgomery,60,herbology
122,Collin Lopez,45,herbology
126,Kimberly Myers,60,herbology
129,Lauren Hayes,60,herbology
137,Theodore Mcgrath,60,herbology
141,Susan Levy,60,herbology
152,Kimberly Maynard,60,herbology
164,Angela Salazar,60,herbology
167,Elizabeth Woods,60,herbology
170,Theodore Mcgrath,60,herbology
172,Stephanie Sutton,60,herbology
175,Sean Green,60,herbology
178,April Snyder,60,herbology
182,Bobby Flores,60,herbology
183,Tasha Rodriguez,60,herbology
185,Kimberly Maynard,60,herbology
188,Collin Lopez,60,herbology
193,Desiree Cain,60,herbology
196,Whitney Stark,60,herbology
207,Susan Levy,60,herbology
210,Jennifer Summers,60,herbology
215,Bobby Flores,60,herbology
219,Laurie Wallace,60,herbology
220,Janice Johnston,0,herbology
223,Peter Mcdowell,60,herbology
229,Whitney Stark,60,herbology
230,Angela Salazar,60,herbology
237,Stephanie Collins,60,herbology
244,April Snyder,0,herbology
248,Bobby Flores,60,herbology
261,Lauren Hayes,60,herbology
272,Brian Hamilton,60,herbology
275,Kimberly Smith,60,herbology
284,Kimberly Maynard,42,herbology
287,Collin Lopez,60,herbology
297,Norma Fisher,60,herbology
