Unnamed: 0,name,late,subject
0,Norma Fisher,0,math
2,Elizabeth Woods,0,math
15,Cheryl Bradley,0,math
931,Stephanie Sutton,0,math
937,April Snyder,0,math
945,Laurie Wallace,0,math
946,Janice Johnston,0,math
949,Peter Mcdowell,0,math
952,Desiree Cain,0,math
957,Norma Fisher,0,math
30,Lauren Hayes,0,math
40,Stephanie Sutton,0,math
44,Kimberly Smith,0,math
59,Sarah Villanueva,16,math
964,Stephanie Sutton,0,math
967,Sean Green,0,math
974,Bobby Flores,8,math
979,Janice Johnston,13,math
980,Collin Lopez,0,math
985,Desiree Cain,5,math
305,Brian Hamilton,0,math
306,Susan Levy,0,math
307,Sean Green,0,math
310,April Snyder,0,math
313,Walter Pratt,0,math
315,Tasha Rodriguez,0,math
316,Michelle Kelley,0,math
317,Kimberly Maynard,4,math
318,Laurie Wallace,0,math
322,Peter Mcdowell,12,math
324,Kimberly Myers,60,math
330,Norma Fisher,0,math
331,Jorge Sullivan,0,math
334,Peter Montgomery,0,math
335,Theodore Mcgrath,0,math
351,Laurie Wallace,0,math
353,Collin Lopez,0,math
360,Lauren Hayes,0,math
364,Jorge Sullivan,0,math
368,Theodore Mcgrath,0,math
371,Brian Hamilton,0,math
374,Kimberly Smith,0,math
380,Bobby Flores,7,math
383,Kimberly Maynard,0,math
393,Lauren Hayes,0,math
394,Whitney Stark,0,math
399,Susan Wagner,0,math
402,Stephanie Collins,0,math
404,Brian Hamilton,0,math
409,April Snyder,0,math
418,Janice Johnston,0,math
421,Peter Mcdowell,0,math
424,Desiree Cain,12,math
431,Elizabeth Woods,0,math
433,Peter Montgomery,0,math
436,Stephanie Sutton,3,math
444,Cheryl Bradley,0,math
447,Tasha Rodriguez,0,math
450,Laurie Wallace,0,math
460,Whitney Stark,0,math
465,Susan Wagner,0,math
466,Peter Montgomery,0,math
470,Brian Hamilton,0,math
471,Susan Levy,0,math
483,Laurie Wallace,3,math
491,Stephanie Lawrence,0,math
493,Whitney Stark,0,math
498,Susan Wagner,4,math
504,Susan Levy,0,math
507,Jennifer Summers,0,math
508,April Snyder,0,math
512,Bobby Flores,0,math
518,Collin Lopez,0,math
520,Peter Mcdowell,0,math
522,Kimberly Myers,0,math
524,Stephanie Lawrence,0,math
528,Norma Fisher,0,math
531,Susan Wagner,11,math
533,Theodore Mcgrath,0,math
540,Jennifer Summers,0,math
544,Walter Pratt,0,math
550,Janice Johnston,0,math
551,Collin Lopez,0,math
555,Kimberly Myers,19,math
563,Elizabeth Woods,0,math
564,Susan Wagner,0,math
566,Theodore Mcgrath,0,math
579,Tasha Rodriguez,0,math
584,Collin Lopez,0,math
586,Peter Mcdowell,0,math
598,Peter Montgomery,0,math
69,Susan Wagner,0,math
71,Theodore Mcgrath,0,math
77,Kimberly Smith,0,math
80,Dana Nguyen,0,math
81,Cheryl Bradley,0,math
82,Walter Pratt,0,math
86,Kimberly Maynard,0,math
625,Whitney Stark,0,math
628,Jorge Sullivan,0,math
637,Sean Green,0,math
647,Kimberly Maynard,17,math
654,Kimberly Myers,0,math
667,Stephanie Sutton,0,math
671,Kimberly Smith,0,math
677,Bobby Flores,0,math
681,Laurie Wallace,0,math
683,Collin Lopez,0,math
686,Sarah Villanueva,2,math
688,Desiree Cain,0,math
694,Jorge Sullivan,4,math
717,Mary Alvarez,0,math
718,Peter Mcdowell,0,math
728,Elizabeth Woods,0,math
741,Cheryl Bradley,1,math
744,Tasha Rodriguez,0,math
745,Michelle Kelley,0,math
753,Kimberly Myers,0,math
757,Whitney Stark,0,math
760,Jorge Sullivan,0,math
768,Susan Levy,0,math
775,Walter Pratt,0,math
783,Mary Alvarez,0,math
791,Angela Salazar,0,math
805,April Snyder,0,math
807,Cheryl Bradley,0,math
810,Tasha Rodriguez,0,math
816,Mary Alvarez,0,math
822,Lauren Hayes,0,math
828,Susan Wagner,0,math
830,Theodore Mcgrath,10,math
831,Stephanie Collins,0,math
833,Brian Hamilton,0,math
838,April Snyder,0,math
840,Cheryl Bradley,0,math
843,Tasha Rodriguez,0,math
845,Kimberly Maynard,0,math
848,Collin Lopez,0,math
855,Lauren Hayes,0,math
856,Whitney Stark,0,math
857,Angela Salazar,6,math
858,Norma Fisher,0,math
861,Susan Wagner,0,math
874,Walter Pratt,0,math
881,Collin Lopez,18,math
884,Sarah Villanueva,0,math
